"V1" "V2" "V3"
"1" 1 0 1
"2" 1 1 1
"3" 0 0 1
"4" 1 1 1
"5" 1 1 0
"6" 1 1 0
"7" 0 0 1
"8" 1 1 1
"9" 1 1 0
"10" 1 1 0
"11" 1 0 1
"12" 1 0 0
"13" 1 1 0
"14" 1 0 1
"15" 1 1 1
"16" 0 0 1
"17" 0 0 1
"18" 0 0 1
"19" 0 1 0
"20" 0 1 0
"21" 1 0 0
"22" 1 0 0
"23" 1 0 1
"24" 1 0 0
"25" 1 1 1
"26" 1 0 0
"27" 1 0 1
"28" 1 0 0
"29" 1 0 1
"30" 1 0 0
"31" 0 1 0
"32" 1 0 1
"33" 0 0 1
"34" 1 0 0
"35" 1 0 0
"36" 1 1 1
"37" 0 1 1
"38" 0 1 1
"39" 0 1 0
"40" 0 1 0
"41" 0 1 0
"42" 1 1 1
"43" 0 0 1
"44" 0 0 1
"45" 0 0 1
"46" 0 0 1
"47" 0 0 1
"48" 0 0 1
"49" 0 1 0
"50" 0 0 1
"51" 0 0 1
"52" 0 0 1
"53" 0 0 1
"54" 1 0 0
"55" 1 1 0
"56" 0 0 1
"57" 1 0 0
"58" 1 1 0
"59" 0 1 0
"60" 1 1 1
"61" 1 1 1
"62" 1 0 0
